iter	Passed	Remaining
0	26	2651
1	47	2318
2	59	1938
3	72	1734
4	78	1497
5	88	1379
6	97	1294
7	108	1245
8	118	1201
9	127	1144
10	138	1117
11	152	1114
12	163	1093
13	171	1052
14	179	1019
15	189	993
16	199	972
17	210	958
18	221	945
19	233	933
20	244	920
21	255	906
22	266	891
23	278	880
24	287	862
25	297	845
26	307	832
27	316	814
28	325	797
29	338	788
30	349	776
31	359	763
32	368	749
33	378	734
34	387	720
35	401	713
36	410	698
37	418	683
38	429	672
39	440	661
40	452	651
41	461	637
42	469	622
43	477	607
44	484	591
45	491	576
46	497	561
47	505	547
48	512	533
49	520	520
50	526	506
51	533	492
52	540	479
53	547	466
54	554	453
55	560	440
56	567	427
57	575	416
58	582	404
59	588	392
60	595	380
61	603	369
62	610	358
63	617	347
64	624	336
65	631	325
66	638	314
67	645	303
68	653	293
69	661	283
70	668	272
71	675	262
72	682	252
73	690	242
74	697	232
75	704	222
76	711	212
77	718	202
78	727	193
79	734	183
80	742	174
81	749	164
82	757	155
83	763	145
84	770	135
85	777	126
86	785	117
87	792	108
88	798	98
89	807	89
90	813	80
91	821	71
92	829	62
93	837	53
94	845	44
95	854	35
96	865	26
97	877	17
98	888	8
99	898	0
