iter	Passed	Remaining
0	4	4545
1	9	4559
2	12	4319
3	16	4171
4	21	4250
5	25	4151
6	28	4082
7	32	3973
8	36	3998
9	39	3888
10	41	3774
11	44	3652
12	47	3575
13	49	3517
14	53	3514
15	55	3443
16	58	3386
17	60	3315
18	62	3250
19	65	3214
20	68	3201
21	71	3168
22	73	3140
23	76	3103
24	78	3074
25	81	3053
26	84	3035
27	86	3010
28	88	2977
29	90	2936
30	92	2898
31	94	2871
32	97	2846
33	99	2829
34	101	2803
35	103	2780
36	106	2765
37	108	2740
38	111	2737
39	113	2730
40	116	2717
41	118	2707
42	120	2687
43	123	2673
44	125	2657
45	127	2641
46	129	2631
47	132	2622
48	134	2607
49	136	2599
50	139	2587
51	141	2577
52	143	2568
53	146	2563
54	148	2551
55	150	2537
56	152	2526
57	154	2517
58	157	2508
59	159	2500
60	161	2493
61	164	2484
62	166	2475
63	169	2480
64	172	2479
65	174	2469
66	177	2469
67	180	2468
68	182	2465
69	185	2458
70	187	2453
71	190	2449
72	192	2441
73	194	2434
74	196	2424
75	198	2414
76	200	2406
77	202	2399
78	204	2387
79	206	2379
80	209	2382
81	212	2375
82	214	2368
83	216	2363
84	218	2354
85	220	2347
86	222	2339
87	225	2336
88	227	2330
89	229	2322
90	231	2316
91	234	2310
92	236	2305
93	238	2301
94	241	2301
95	244	2298
96	246	2292
97	248	2286
98	251	2284
99	253	2277
100	255	2273
101	258	2272
102	260	2268
103	262	2265
104	265	2263
105	267	2258
106	270	2253
107	272	2249
108	274	2246
109	277	2241
110	279	2239
111	281	2235
112	284	2229
113	286	2228
114	289	2229
115	292	2231
116	295	2229
117	297	2223
118	299	2217
119	301	2213
120	305	2216
121	307	2211
122	309	2206
123	311	2202
124	313	2196
125	315	2190
126	317	2185
127	320	2182
128	322	2178
129	324	2174
130	326	2168
131	328	2162
132	330	2157
133	333	2154
134	335	2151
135	337	2146
136	339	2140
137	341	2135
138	344	2131
139	345	2125
140	348	2121
141	350	2118
142	352	2115
143	354	2110
144	357	2105
145	358	2098
146	360	2093
147	363	2090
148	364	2084
149	367	2081
150	369	2077
151	371	2073
152	373	2067
153	376	2066
154	378	2064
155	381	2061
156	383	2061
157	386	2057
158	388	2053
159	390	2048
160	392	2043
161	394	2039
162	396	2034
163	399	2034
164	401	2030
165	403	2024
166	404	2019
167	406	2014
168	408	2011
169	410	2005
170	412	2000
171	414	1996
172	416	1992
173	419	1989
174	421	1985
175	423	1981
176	425	1979
177	429	1982
178	431	1978
179	433	1973
180	435	1968
181	437	1965
182	439	1962
183	441	1958
184	443	1954
185	446	1952
186	448	1948
187	449	1942
188	451	1938
189	453	1935
190	456	1931
191	458	1927
192	460	1924
193	462	1922
194	464	1918
195	466	1915
196	469	1912
197	470	1907
198	472	1903
199	475	1901
200	478	1900
201	480	1897
202	482	1893
203	484	1890
204	486	1887
205	489	1885
206	491	1882
207	493	1880
208	496	1878
209	498	1875
210	500	1872
211	502	1869
212	504	1865
213	506	1861
214	509	1858
215	511	1858
216	514	1856
217	516	1853
218	518	1849
219	520	1846
220	522	1842
221	525	1840
222	527	1838
223	530	1837
224	532	1834
225	534	1831
226	536	1828
227	540	1828
228	543	1828
229	546	1829
230	549	1830
231	553	1830
232	557	1834
233	560	1834
234	562	1832
235	565	1830
236	568	1828
237	570	1827
238	573	1825
239	575	1822
240	577	1819
241	579	1815
242	581	1812
243	583	1808
244	586	1805
245	588	1802
246	590	1798
247	591	1794
248	594	1791
249	596	1788
250	598	1784
251	599	1780
252	602	1777
253	603	1773
254	606	1771
255	608	1769
256	610	1765
